Sum of Age,Age-Demograph,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,Education_Description,EducationField,Sum of EmployeeCount,Sum of EmployeeNumber,Sum of EnvironmentSatisfaction,Name,Last_name,First_name,Gender,Environment_Satisfaction_Description,Job_Involvement_description,Sum of HourlyRate,Job_Level_Description,Job_Satisfaction__description,Sum of JobInvolvement,Sum of JobLevel,JobRole,MaritalStatus,Sum of JobSatisfaction,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,performance_rate_description,Sum of PerformanceRating,promotion_desciption,relation_satisfaction_description,Sum of RelationshipSatisfaction,Sum of StandardHours,Stock_Option_Level_description,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Work_life_balance_description,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
41,36-45,Yes,Travel_Rarely,1102,Sales,1,2,College,Life Sciences,1,1,2,Dorren Cameron,Cameron,Dorren,Female,Medium,High,94,Junior,Very High,3,2,Sales Executive,Single,4,5993,19479,8,Y,Yes,11,excellent,3,Not promoted,Low,1,80,None,0,8,0,Bad,1,6,4,0,5
49,46-55,No,Travel_Frequently,279,Research & Development,8,1,School,Life Sciences,1,2,3,Philopater Egbert,Egbert,Philopater,Male,High,Midium,61,Junior,Medium,2,2,Research Scientist,Married,2,5130,24907,1,Y,No,23,outstanding,4,Was promoted,Very High,4,80,Silver,1,10,3,Better,3,10,7,1,7
37,36-45,Yes,Travel_Rarely,1373,Research & Development,2,2,College,Other,1,4,4,Juanandres Crystofer,Crystofer,Juanandres,Male,Very High,Midium,92,Entry Level,High,2,1,Laboratory Technician,Single,3,2090,2396,6,Y,Yes,15,excellent,3,Not promoted,Medium,2,80,None,0,7,3,Better,3,0,0,0,0
33,25-35,No,Travel_Frequently,1392,Research & Development,3,4,Master,Life Sciences,1,5,4,Daynesha Daymeon,Daymeon,Daynesha,Female,Very High,High,56,Entry Level,High,3,1,Research Scientist,Married,3,2909,23159,1,Y,Yes,11,excellent,3,Was promoted,High,3,80,None,0,8,3,Better,3,8,7,3,0
27,25-35,No,Travel_Rarely,591,Research & Development,2,1,School,Medical,1,7,1,Christropher Jarvais,Jarvais,Christropher,Male,Low,High,40,Entry Level,Medium,3,1,Laboratory Technician,Married,2,3468,16632,9,Y,No,12,excellent,3,Was promoted,Very High,4,80,Silver,1,6,3,Better,3,2,2,2,2
32,25-35,No,Travel_Frequently,1005,Research & Development,2,2,College,Life Sciences,1,8,4,Darreion Johnavon,Johnavon,Darreion,Male,Very High,High,79,Entry Level,Very High,3,1,Laboratory Technician,Single,4,3068,11864,0,Y,No,13,excellent,3,Was promoted,High,3,80,None,0,8,2,Good,2,7,7,3,6
59,Over-55,No,Travel_Rarely,1324,Research & Development,3,3,Bachelor,Medical,1,10,3,Gabriellah Chiebuka,Chiebuka,Gabriellah,Female,High,Very High,81,Entry Level,Low,4,1,Laboratory Technician,Married,1,2670,9964,4,Y,Yes,20,outstanding,4,Not promoted,Low,1,80,Platinum,3,12,3,Good,2,1,0,0,0
30,25-35,No,Travel_Rarely,1358,Research & Development,24,1,School,Life Sciences,1,11,4,Deronte Dajaun,Dajaun,Deronte,Male,Very High,High,67,Entry Level,High,3,1,Laboratory Technician,Divorced,3,2693,13335,1,Y,No,22,outstanding,4,Not promoted,Medium,2,80,Silver,1,1,2,Better,3,1,0,0,0
38,36-45,No,Travel_Frequently,216,Research & Development,23,3,Bachelor,Life Sciences,1,12,4,Tilian Chazaray,Chazaray,Tilian,Male,Very High,Midium,44,Senior,High,2,3,Manufacturing Director,Single,3,9526,8787,0,Y,No,21,outstanding,4,Was promoted,Medium,2,80,None,0,10,2,Better,3,9,7,1,8
36,36-45,No,Travel_Rarely,1299,Research & Development,27,3,Bachelor,Medical,1,13,3,Izaih Aidon,Aidon,Izaih,Male,High,High,94,Junior,High,3,2,Healthcare Representative,Married,3,5237,16577,6,Y,No,13,excellent,3,Was promoted,Medium,2,80,Gold,2,17,3,Good,2,7,7,7,7
35,25-35,No,Travel_Rarely,809,Research & Development,16,3,Bachelor,Medical,1,14,1,Raphel Jezer,Jezer,Raphel,Male,Low,Very High,84,Entry Level,Medium,4,1,Laboratory Technician,Married,2,2426,16479,0,Y,No,13,excellent,3,Not promoted,High,3,80,Silver,1,6,5,Better,3,5,4,0,3
29,25-35,No,Travel_Rarely,153,Research & Development,15,2,College,Life Sciences,1,15,4,Mavi Hamlin,Hamlin,Mavi,Female,Very High,Midium,49,Junior,High,2,2,Laboratory Technician,Single,3,4193,12682,0,Y,Yes,12,excellent,3,Not promoted,Very High,4,80,None,0,10,3,Better,3,9,5,0,8
31,25-35,No,Travel_Rarely,670,Research & Development,26,1,School,Life Sciences,1,16,1,Rhyden Devondre,Devondre,Rhyden,Male,Low,High,31,Entry Level,High,3,1,Research Scientist,Divorced,3,2911,15170,1,Y,No,17,excellent,3,Was promoted,Very High,4,80,Silver,1,5,1,Good,2,5,2,4,3
34,25-35,No,Travel_Rarely,1346,Research & Development,19,2,College,Medical,1,18,2,Kemel Bryon,Bryon,Kemel,Male,Medium,High,93,Entry Level,Very High,3,1,Laboratory Technician,Divorced,4,2661,8758,0,Y,No,11,excellent,3,Was promoted,High,3,80,Silver,1,3,2,Better,3,2,2,1,2
28,25-35,Yes,Travel_Rarely,103,Research & Development,24,3,Bachelor,Life Sciences,1,19,3,Fredarius Jahim,Jahim,Fredarius,Male,High,Midium,50,Entry Level,High,2,1,Laboratory Technician,Single,3,2028,12947,5,Y,Yes,14,excellent,3,Not promoted,Medium,2,80,None,0,6,4,Better,3,4,2,0,3
29,25-35,No,Travel_Rarely,1389,Research & Development,21,4,Master,Life Sciences,1,20,2,Rayshelle Brayam,Brayam,Rayshelle,Female,Medium,Very High,51,Senior,Low,4,3,Manufacturing Director,Divorced,1,9980,10195,1,Y,No,11,excellent,3,Was promoted,High,3,80,Silver,1,10,1,Better,3,10,9,8,8
32,25-35,No,Travel_Rarely,334,Research & Development,5,2,College,Life Sciences,1,21,1,Marcjacob Greatness,Greatness,Marcjacob,Male,Low,Very High,80,Entry Level,Medium,4,1,Research Scientist,Divorced,2,3298,15053,0,Y,Yes,12,excellent,3,Not promoted,Very High,4,80,Gold,2,7,5,Good,2,6,2,0,5
22,Under-20,No,Non-Travel,1123,Research & Development,16,2,College,Medical,1,22,4,Mahesh Ambros,Ambros,Mahesh,Male,Very High,Very High,96,Entry Level,Very High,4,1,Laboratory Technician,Divorced,4,2935,7324,1,Y,Yes,13,excellent,3,Not promoted,Medium,2,80,Gold,2,1,2,Good,2,1,0,0,0
53,46-55,No,Travel_Rarely,1219,Sales,2,4,Master,Life Sciences,1,23,1,Raigan Zarak,Zarak,Raigan,Female,Low,Midium,78,Team Lead,Very High,2,4,Manager,Married,4,15427,22021,2,Y,No,16,excellent,3,Was promoted,High,3,80,None,0,31,3,Better,3,25,8,3,7
38,36-45,No,Travel_Rarely,371,Research & Development,2,3,Bachelor,Life Sciences,1,24,4,Raydan Esiquiel,Esiquiel,Raydan,Male,Very High,High,45,Entry Level,Very High,3,1,Research Scientist,Single,4,3944,4306,5,Y,Yes,11,excellent,3,Was promoted,High,3,80,None,0,6,3,Better,3,3,2,1,2
24,Under-20,No,Non-Travel,673,Research & Development,11,2,College,Other,1,26,1,Daleysa Waris,Waris,Daleysa,Female,Low,Very High,96,Junior,High,4,2,Manufacturing Director,Divorced,3,4011,8232,0,Y,No,18,excellent,3,Was promoted,Very High,4,80,Silver,1,5,5,Good,2,4,2,1,3
36,36-45,Yes,Travel_Rarely,1218,Sales,9,4,Master,Life Sciences,1,27,3,Hixon Vytas,Vytas,Hixon,Male,High,Midium,82,Entry Level,Low,2,1,Sales Representative,Single,1,3407,6986,7,Y,No,23,outstanding,4,Not promoted,Medium,2,80,None,0,10,4,Better,3,5,3,0,3
34,25-35,No,Travel_Rarely,419,Research & Development,7,4,Master,Life Sciences,1,28,1,Qadriyyah Timaeus,Timaeus,Qadriyyah,Female,Low,High,53,Senior,Medium,3,3,Research Director,Single,2,11994,21293,0,Y,No,11,excellent,3,Was promoted,High,3,80,None,0,13,4,Better,3,12,6,2,11
21,Under-20,No,Travel_Rarely,391,Research & Development,15,2,College,Life Sciences,1,30,3,Previn Erick,Erick,Previn,Male,High,High,96,Entry Level,Very High,3,1,Research Scientist,Single,4,1232,19281,1,Y,No,14,excellent,3,Not promoted,Very High,4,80,None,0,0,6,Better,3,0,0,0,0
34,25-35,Yes,Travel_Rarely,699,Research & Development,6,1,School,Medical,1,31,2,Hardin Karmari,Karmari,Hardin,Male,Medium,High,83,Entry Level,Low,3,1,Research Scientist,Single,1,2960,17102,2,Y,No,11,excellent,3,Was promoted,High,3,80,None,0,8,2,Better,3,4,2,1,3
53,46-55,No,Travel_Rarely,1282,Research & Development,5,3,Bachelor,Other,1,32,3,Lellie Mcauthur,Mcauthur,Lellie,Female,High,High,58,Executive,High,3,5,Manager,Divorced,3,19094,10735,4,Y,No,11,excellent,3,Was promoted,Very High,4,80,Silver,1,26,3,Good,2,14,13,4,8
32,25-35,Yes,Travel_Frequently,1125,Research & Development,16,1,School,Life Sciences,1,33,2,Jalanna Crawford,Crawford,Jalanna,Female,Medium,Low,72,Entry Level,Low,1,1,Research Scientist,Single,1,3919,4681,1,Y,Yes,22,outstanding,4,Was promoted,Medium,2,80,None,0,10,5,Better,3,10,2,6,7
42,36-45,No,Travel_Rarely,691,Sales,8,4,Master,Marketing,1,35,3,Jessten Williford,Williford,Jessten,Male,High,High,48,Junior,Medium,3,2,Sales Executive,Married,2,6825,21173,0,Y,No,11,excellent,3,Was promoted,Very High,4,80,Silver,1,10,2,Better,3,9,7,4,2
44,36-45,No,Travel_Rarely,477,Research & Development,7,4,Master,Medical,1,36,1,Kimoria Riven,Riven,Kimoria,Female,Low,Midium,42,Senior,Very High,2,3,Healthcare Representative,Married,4,10248,2094,3,Y,No,14,excellent,3,Was promoted,Very High,4,80,Silver,1,24,4,Better,3,22,6,5,17
